"","sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img"
"59",4574,2,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","308830070730029_1.jpg",0.851096975757642,"Female","nb_image_walksafety_day_d20",5,"Safety - Daytime Walking","308830070730029_1"
"60",4574,2,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","308830070730029_1.jpg",0.851096975757642,"Female","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","308830070730029_1"
"61",4581,2,0,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.780595533980267,"Female","nb_image_wealth_rate_d20",5,"Neighborhood Wealth","258028249344107_1"
"62",4581,2,0,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.780595533980267,"Female","nb_image_hhinc_text_d20",46000,"Average Income","258028249344107_1"
"63",4581,2,0,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.780595533980267,"Female","nb_image_tidiness_d20",6,"Disorder","258028249344107_1"
"64",4581,2,0,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.780595533980267,"Female","nb_image_walksafety_day_d20",5,"Safety - Daytime Walking","258028249344107_1"
"65",4581,2,0,0,0,1,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.780595533980267,"Female","nb_image_walksafety_night_d20",NA,"Safety - Nighttime Walking","258028249344107_1"
"66",4584,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","929178687927460_1.jpg",1.50455950737295,"Male","nb_image_wealth_rate_d20",7,"Neighborhood Wealth","929178687927460_1"
"67",4584,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","929178687927460_1.jpg",1.50455950737295,"Male","nb_image_hhinc_text_d20",50000,"Average Income","929178687927460_1"
"68",4584,1,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/929178687927460_1.jpg","929178687927460_1.jpg",1.50455950737295,"Male","nb_image_tidiness_d20",3,"Disorder","929178687927460_1"
