bias,rmse,ece,alpha,delta,method
0.08393131431070092,0.18060507136395595,0.06223682031519122,0.5,0.72,PLDL-Weighted
-0.029025650619505926,0.1578855075894739,0.048703889563469195,0.5,0.72,Majority
-0.029025650619505926,0.1578855075894739,0.048703889563469195,0.5,0.72,Weighted
-0.029025650619505926,0.1578855075894739,0.048703889563469195,0.5,0.72,PLDL-Weighted
-0.049525432105003424,0.1594879568951037,0.06226410449470786,0.5,0.72,Majority
-0.049525432105003424,0.1594879568951037,0.06226410449470786,0.5,0.72,Weighted
-0.049525432105003424,0.1594879568951037,0.06226410449470786,0.5,0.72,PLDL-Weighted
0.011067544923556782,0.1541266205612695,0.037657458707576856,0.5,0.72,Majority
0.011067544923556782,0.1541266205612695,0.037657458707576856,0.5,0.72,Weighted
0.011067544923556782,0.1541266205612695,0.037657458707576856,0.5,0.72,PLDL-Weighted
0.04689208761823669,0.15618247792804793,0.04529249122339857,0.5,0.72,Majority
0.04689208761823669,0.15618247792804793,0.04529249122339857,0.5,0.72,Weighted
0.04689208761823669,0.15618247792804793,0.04529249122339857,0.5,0.72,PLDL-Weighted
0.011032457244425366,0.15331465085609078,0.030977161680365774,0.5,0.72,Majority
0.011032457244425366,0.15331465085609078,0.030977161680365774,0.5,0.72,Weighted
0.011032457244425366,0.15331465085609078,0.030977161680365774,0.5,0.72,PLDL-Weighted
-0.055362177638981755,0.1669707629567338,0.06937348751171983,0.5,0.72,Majority
-0.055362177638981755,0.1669707629567338,0.06937348751171983,0.5,0.72,Weighted
-0.055362177638981755,0.1669707629567338,0.06937348751171983,0.5,0.72,PLDL-Weighted
0.04900770077205762,0.16130043933254085,0.04684635164824675,0.5,0.72,Majority
0.04900770077205762,0.16130043933254085,0.04684635164824675,0.5,0.72,Weighted
0.04900770077205762,0.16130043933254085,0.04684635164824675,0.5,0.72,PLDL-Weighted
0.05203114979129009,0.15993488230347627,0.049324361151396295,0.5,0.72,Majority
0.05203114979129009,0.15993488230347627,0.049324361151396295,0.5,0.72,Weighted
0.05203114979129009,0.15993488230347627,0.049324361151396295,0.5,0.72,PLDL-Weighted
-0.02821810567647899,0.15280766654168082,0.04262215726597171,0.5,0.72,Majority
-0.02821810567647899,0.15280766654168082,0.04262215726597171,0.5,0.72,Weighted
-0.02821810567647899,0.15280766654168082,0.04262215726597171,0.5,0.72,PLDL-Weighted
0.013647443116100031,0.15097957582103866,0.032136690141671684,0.5,0.72,Majority
0.013647443116100031,0.15097957582103866,0.032136690141671684,0.5,0.72,Weighted
0.013647443116100031,0.15097957582103866,0.032136690141671684,0.5,0.72,PLDL-Weighted
0.022240992994794158,0.15798598582254517,0.03652966322300415,0.5,0.72,Majority
0.022240992994794158,0.15798598582254517,0.03652966322300415,0.5,0.72,Weighted
0.022240992994794158,0.15798598582254517,0.03652966322300415,0.5,0.72,PLDL-Weighted
0.012985555695613398,0.15478177651852373,0.032912261949124055,0.5,0.72,Majority
0.012985555695613398,0.15478177651852373,0.032912261949124055,0.5,0.72,Weighted
0.012985555695613398,0.15478177651852373,0.032912261949124055,0.5,0.72,PLDL-Weighted
-0.017319476634219223,0.15527006862028364,0.03881713543802817,0.5,0.72,Majority
-0.017319476634219223,0.15527006862028364,0.03881713543802817,0.5,0.72,Weighted
-0.017319476634219223,0.15527006862028364,0.03881713543802817,0.5,0.72,PLDL-Weighted
0.0057750094810245095,0.15816612391376333,0.040048399472899995,0.5,0.72,Majority
0.0057750094810245095,0.15816612391376333,0.040048399472899995,0.5,0.72,Weighted
0.0057750094810245095,0.15816612391376333,0.040048399472899995,0.5,0.72,PLDL-Weighted
